timestamp_min,cycle_id,pollutant_residual_risk,reaction_completion
0.0,0.0,0.7791,0.1096
1.0,0.0,0.7735,0.1195
2.0,0.0,0.7628,0.123
3.0,0.0,0.7625,0.1294
4.0,0.0,0.7411,0.1535
5.0,0.0,0.7221,0.1722
6.0,0.0,0.7072,0.193
7.0,0.0,0.6915,0.2085
8.0,0.0,0.6572,0.2498
9.0,0.0,0.6587,0.2507
10.0,0.0,0.6126,0.2968
11.0,0.0,0.6245,0.2937
12.0,1.0,0.5785,0.3492
13.0,1.0,0.6059,0.3117
14.0,1.0,0.5679,0.3586
15.0,1.0,0.5499,0.3782
16.0,1.0,0.5628,0.3605
17.0,1.0,0.5406,0.3897
18.0,1.0,0.5286,0.4026
19.0,1.0,0.5131,0.4227
20.0,1.0,0.4944,0.4358
21.0,1.0,0.49,0.4455
22.0,1.0,0.4847,0.4504
23.0,1.0,0.4586,0.4849
24.0,2.0,0.4511,0.485
25.0,2.0,0.4406,0.5031
26.0,2.0,0.4363,0.5105
27.0,2.0,0.3994,0.5522
28.0,2.0,0.4261,0.5101
29.0,2.0,0.4202,0.5251
30.0,2.0,0.3973,0.5529
31.0,2.0,0.3763,0.5818
32.0,2.0,0.3423,0.6224
33.0,2.0,0.3825,0.5664
34.0,2.0,0.3481,0.6176
35.0,2.0,0.3501,0.5981
36.0,3.0,0.3497,0.609
37.0,3.0,0.3261,0.6344
38.0,3.0,0.3069,0.6636
39.0,3.0,0.3141,0.6498
40.0,3.0,0.3166,0.6413
41.0,3.0,0.3176,0.6339
42.0,3.0,0.3083,0.6536
43.0,3.0,0.3251,0.6333
44.0,3.0,0.2696,0.6984
45.0,3.0,0.271,0.6945
46.0,3.0,0.2776,0.6844
47.0,3.0,0.2777,0.6957
48.0,4.0,0.2424,0.7347
49.0,4.0,0.2732,0.6982
50.0,4.0,0.2536,0.725
51.0,4.0,0.2583,0.7145
52.0,4.0,0.2524,0.7319
53.0,4.0,0.2528,0.7297
54.0,4.0,0.2583,0.7272
55.0,4.0,0.2127,0.7773
56.0,4.0,0.2404,0.7529
57.0,4.0,0.2484,0.7499
58.0,4.0,0.2494,0.746
59.0,4.0,0.2244,0.7862
60.0,5.0,0.2432,0.7586
61.0,5.0,0.2168,0.795
62.0,5.0,0.2362,0.7624
63.0,5.0,0.2322,0.7788
64.0,5.0,0.1996,0.8221
65.0,5.0,0.2358,0.7774
66.0,5.0,0.2186,0.8038
67.0,5.0,0.2144,0.8074
68.0,5.0,0.2237,0.8018
69.0,5.0,0.2031,0.8231
70.0,5.0,0.2217,0.811
71.0,5.0,0.2073,0.8297
